level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,124,VES,OESS,OIIS,OESS|OIIS|VES,"Verordnung vom 24. Juni 2015 über den Einsatz von privaten Sicherheitsunternehmen für Schutzaufgaben durch Bundesbehörden (Verordnung über den Einsatz von Sicherheitsunternehmen, VES)"
federal,,128,ISG,LSI,LSIn,ISG|LSI|LSIN,"Bundesgesetz vom 18. Dezember 2020 über die Informationssicherheit (Informationssicherheitsgesetz, ISG)"
federal,,128.1,ISV,OSI,OSIn,ISV|OSI|OSIN,"Verordnung vom 8. November 2023 über die Informationssicherheit in der Bundesverwaltung und der Armee (Informationssicherheitsverordnung, ISV)"
federal,,128.31,VPSP,OCSP,OCSP,OCSP|VPSP,Verordnung vom 8. November 2023 über die Personensicherheitsprüfungen (VPSP)
federal,,128.41,VBSV,OPSEnt,OPSAz,OPSAZ|OPSENT|VBSV,Verordnung vom 8. November 2023 über das Betriebssicherheitsverfahren (VBSV)
federal,,128.51,CSV,OCyS,OCS,CSV|OCS|OCYS,"Verordnung vom 7. März 2025 über die Cybersicherheit (Cybersicherheitsverordnung, CSV)"
federal,,129,FPG,LDPa,LDPA,FPG|LDPA,"Bundesgesetz vom 21. März 2025 über die Bearbeitung von Flugpassagierdaten zur Bekämpfung von terroristischen und anderen schweren Straftaten (Flugpassagierdatengesetz, FPG)"
federal,,131.212,KV,ConstC,CostC,CONSTC|COSTC|KV,"Verfassung des Kantons Bern, vom 6. Juni 1993 (KV)"
federal,,131.234,KV-GE,Cst-GE,Cost.-GE,COST.-GE|CST-GE|KV-GE,"Verfassung der Republik und des Kantons Genf, vom 14. Oktober 2012 (KV-GE)"
federal,,138.1,BGMK,LFPC,LFPC,BGMK|LFPC,Bundesgesetz vom 22. Dezember 1999 über die Mitwirkung der Kantone an der Aussenpolitik des Bundes (BGMK)
federal,,141.0,BüG,LN,LCit,BÜG|LCIT|LN,"Bundesgesetz vom 20. Juni 2014 über das Schweizer Bürgerrecht (Bürgerrechtsgesetz, BüG)"
federal,,141.01,BüV,OLN,OCit,BÜV|OCIT|OLN,"Verordnung vom 17. Juni 2016 über das Schweizer Bürgerrecht (Bürgerrechtsverordnung, BüV)"
federal,,142.20,AIG,LEI,LStrI,AIG|LEI|LSTRI,"Bundesgesetz vom 16. Dezember 2005 über die Ausländerinnen und Ausländer und über die Integration (Ausländer- und Integrationsgesetz, AIG)"
federal,,142.201,VZAE,OASA,OASA,OASA|VZAE,"Verordnung vom 24. Oktober 2007 über Zulassung, Aufenthalt und Erwerbstätigkeit (VZAE)"
federal,,142.201.1,ZV-EJPD,OA-DFJP,OA-DFGP,OA-DFGP|OA-DFJP|ZV-EJPD,Verordnung des EJPD vom 13. August 2015 über die dem Zustimmungsverfahren unterliegenden ausländerrechtlichen Bewilligungen und Vorentscheide
federal,,142.203,VFP,OLCP,OLCP,OLCP|VFP,"Verordnung vom 22. Mai 2002 über den freien Personenverkehr zwischen der Schweiz und der Europäischen Union und deren Mitgliedstaaten, zwischen der Schweiz und dem Vereinigten Königreich sowie unter den Mitgliedstaaten der Europäischen Freihandelsassoziation (Verordnung über den freien Personenverkehr, VFP)"
federal,,142.204,VEV,OEV,OEV,OEV|VEV,Verordnung vom 15. August 2018 über die Einreise und die Visumerteilung (VEV)
federal,,142.205,VIntA,OIE,OIntS,OIE|OINTS|VINTA,Verordnung vom 15. August 2018 über die Integration von Ausländerinnen und Ausländern (VIntA)
federal,,142.206,EESV,OEES,OEES,EESV|OEES,Verordnung vom 10. November 2021 über das Einreise- und Ausreisesystem (EESV)
federal,,142.209,GebV-AIG,Oem-LEI,OEmol-LStrI,GEBV-AIG|OEM-LEI|OEMOL-LSTRI,"Verordnung vom 24. Oktober 2007 über die Gebühren zum Ausländer- und Integrationsgesetz (Gebührenverordnung AIG, GebV-AIG)"
federal,,142.281,VVWAL,OERE,OEAE,OEAE|OERE|VVWAL,Verordnung vom 11. August 1999 über den Vollzug der Weg- und Ausweisung sowie der Landesverweisung von ausländischen Personen (VVWAL)
federal,,142.31,AsylG,LAsi,LAsi,ASYLG|LASI,Asylgesetz vom 26. Juni 1998 (AsylG)
federal,,142.311,AsylV 1,OA 1,OAsi 1,ASYLV 1|OA 1|OASI 1,"Asylverordnung 1 vom 11. August 1999 über Verfahrensfragen (Asylverordnung 1, AsylV 1)"
federal,,142.312,AsylV 2,OA 2,OAsi 2,ASYLV 2|OA 2|OASI 2,"Asylverordnung 2 vom 11. August 1999 über Finanzierungsfragen (Asylverordnung 2, AsylV 2)"
federal,,142.314,AsylV 3,OA 3,OAsi 3,ASYLV 3|OA 3|OASI 3,"Asylverordnung 3 vom 11. August 1999 über die Bearbeitung von Personendaten (Asylverordnung 3, AsylV 3)"
federal,,142.316,VPGA,OAPA,OAPA,OAPA|VPGA,Verordnung vom 25. Oktober 2017 über das Plangenehmigungsverfahren im Asylbereich (VPGA)
federal,,142.51,BGIAA,LDEA,LSISA,BGIAA|LDEA|LSISA,Bundesgesetz vom 20. Juni 2003 über das Informationssystem für den Ausländer- und den Asylbereich (BGIAA)
federal,,142.512,VISV,OVIS,OVIS,OVIS|VISV,"Verordnung vom 18. Dezember 2013 über das zentrale Visa-Informationssystem und das nationale Visumsystem (Visa-Informationssystem-Verordnung, VISV)"
